model,principle,n,mean_correctness,mean_quality
ChatGPT,baseline,12,5,4.917
ChatGPT,role,12,5,4.917
ChatGPT,audience,12,5,4.917
ChatGPT,chain_of_thought,12,5,4.917
ChatGPT,emotion,12,5,4.917
ChatGPT,few_shot,12,5,4.75
Claude,baseline,12,5,5
Claude,role,12,5,5
Claude,audience,12,5,4.917
Claude,chain_of_thought,12,5,4.833
Claude,emotion,12,4.917,4.5
Claude,few_shot,12,5,4.417
Gemma,baseline,12,5,5
Gemma,role,12,5,4.917
Gemma,audience,12,5,4.917
Gemma,chain_of_thought,12,5,4.75
Gemma,emotion,12,4.917,4.667
Gemma,few_shot,12,5,4.667
