prompt_num,question_id,category,principle,base_question,prompt_text,expected_correct
1,F1b,factual,baseline,How does photosynthesis work?,How does photosynthesis work?,"Plants use sunlight energy to convert carbon dioxide and water into glucose and oxygen, occurring primarily in chloroplasts via the light-dependent and light-independent (Calvin cycle) reactions."
2,F1fs,factual,few_shot,How does photosynthesis work?,"Here are some examples of clear, accurate answers:

Q: How does evaporation work?
A: Evaporation is the process by which liquid water turns into water vapor. Heat energy causes water molecules at the surface to move faster, and some gain enough energy to break free from the liquid and enter the air as gas. This happens at all temperatures but accelerates with heat, lower humidity, and increased airflow.

Q: How does a magnet attract metal?
A: Magnets produce a magnetic field generated by aligned electron spins inside the magnet. When a ferromagnetic metal (such as iron) enters this field, the electrons in the metal align with the field, temporarily turning the metal into a magnet itself. The two fields then attract each other.

Now please answer this question in the same style:
Q: How does photosynthesis work?
A:","Plants use sunlight energy to convert carbon dioxide and water into glucose and oxygen, occurring primarily in chloroplasts via the light-dependent and light-independent (Calvin cycle) reactions."
3,F1cot,factual,chain_of_thought,How does photosynthesis work?,"How does photosynthesis work?

Think through this step by step, working through your reasoning carefully before giving your final answer.","Plants use sunlight energy to convert carbon dioxide and water into glucose and oxygen, occurring primarily in chloroplasts via the light-dependent and light-independent (Calvin cycle) reactions."
4,F1r,factual,role,How does photosynthesis work?,You are an expert science teacher with twenty years of experience explaining complex concepts clearly. How does photosynthesis work?,"Plants use sunlight energy to convert carbon dioxide and water into glucose and oxygen, occurring primarily in chloroplasts via the light-dependent and light-independent (Calvin cycle) reactions."
5,F1aud,factual,audience,How does photosynthesis work?,I am a curious high school student who has not studied this topic before. How does photosynthesis work?,"Plants use sunlight energy to convert carbon dioxide and water into glucose and oxygen, occurring primarily in chloroplasts via the light-dependent and light-independent (Calvin cycle) reactions."
6,F1emo,factual,emotion,How does photosynthesis work?,"How does photosynthesis work?

This is critically important. My career and future depend on getting this right.","Plants use sunlight energy to convert carbon dioxide and water into glucose and oxygen, occurring primarily in chloroplasts via the light-dependent and light-independent (Calvin cycle) reactions."
7,F2b,factual,baseline,What causes the seasons on Earth?,What causes the seasons on Earth?,Earth's axial tilt of about 23.5 degrees relative to its orbital plane causes different hemispheres to receive more direct sunlight at different times of year as Earth orbits the sun. Distance from the sun is NOT the cause.
8,F2fs,factual,few_shot,What causes the seasons on Earth?,"Here are some examples of clear, accurate answers:

Q: How does evaporation work?
A: Evaporation is the process by which liquid water turns into water vapor. Heat energy causes water molecules at the surface to move faster, and some gain enough energy to break free from the liquid and enter the air as gas. This happens at all temperatures but accelerates with heat, lower humidity, and increased airflow.

Q: How does a magnet attract metal?
A: Magnets produce a magnetic field generated by aligned electron spins inside the magnet. When a ferromagnetic metal (such as iron) enters this field, the electrons in the metal align with the field, temporarily turning the metal into a magnet itself. The two fields then attract each other.

Now please answer this question in the same style:
Q: What causes the seasons on Earth?
A:",Earth's axial tilt of about 23.5 degrees relative to its orbital plane causes different hemispheres to receive more direct sunlight at different times of year as Earth orbits the sun. Distance from the sun is NOT the cause.
9,F2cot,factual,chain_of_thought,What causes the seasons on Earth?,"What causes the seasons on Earth?

Think through this step by step, working through your reasoning carefully before giving your final answer.",Earth's axial tilt of about 23.5 degrees relative to its orbital plane causes different hemispheres to receive more direct sunlight at different times of year as Earth orbits the sun. Distance from the sun is NOT the cause.
10,F2r,factual,role,What causes the seasons on Earth?,You are an expert science teacher with twenty years of experience explaining complex concepts clearly. What causes the seasons on Earth?,Earth's axial tilt of about 23.5 degrees relative to its orbital plane causes different hemispheres to receive more direct sunlight at different times of year as Earth orbits the sun. Distance from the sun is NOT the cause.
